iso3c,country_official,country_text,country_fig,country_tab
AFG,the Islamic Republic of Afghanistan,Afghanistan,Afghanistan,Afghanistan
ALB,the Republic of Albania,Albania,Albania,Albania
DZA,the People's Democratic Republic of Algeria,Algeria,Algeria,Algeria
AND,the Principality of Andorra,Andorra,Andorra,Andorra
AGO,the Republic of Angola,Angola,Angola,Angola
AIA,Anguilla,Anguilla,Anguilla,Anguilla
ATG,Antigua and Barbuda,Antigua and Barbuda,Antigua/Barbuda,Antigua and Barbuda
ARG,the Argentine Republic,Argentina,Argentina,Argentina
ARM,the Republic of Armenia,Armenia,Armenia,Armenia
ABW,Aruba,Aruba,Aruba,Aruba
AUS,Australia,Australia,Australia,Australia
AUT,the Republic of Austria,Austria,Austria,Austria
AZE,the Republic of Azerbaijan,Azerbaijan,Azerbaijan,Azerbaijan
BHS,the Commonwealth of the Bahamas,the Bahamas,Bahamas,Bahamas
BHR,the Kingdom of Bahrain,Bahrain,Bahrain,Bahrain
BGD,the People's Republic of Bangladesh,Bangladesh,Bangladesh,Bangladesh
BRB,Barbados,Barbados,Barbados,Barbados
BLR,the Republic of Belarus,Belarus,Belarus,Belarus
BEL,the Kingdom of Belgium,Belgium,Belgium,Belgium
BLZ,Belize,Belize,Belize,Belize
BEN,the Republic of Benin,Benin,Benin,Benin
BMU,the Bermudas,Bermuda,Bermuda,Bermuda
BTN,the Kingdom of Bhutan,Bhutan,Bhutan,Bhutan
BOL,Plurinational State of Bolivia,the Plurinational State of Bolivia,Bolivia,"Bolivia, P. S."
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia/Herzeg.,Bosnia and Herzegovina
BWA,the Republic of Botswana,Botswana,Botswana,Botswana
BRA,the Federative Republic of Brazil,Brazil,Brazil,Brazil
VGB,the British Virgin Islands,the British Virgin Islands,Br. Virgin Is,British Virgin Islands
BRN,Brunei Darussalam,Brunei Darussalam,Brunei Daruss.,Brunei Darussalam
BGR,the Republic of Bulgaria,Bulgaria,Bulgaria,Bulgaria
BFA,Burkina Faso,Burkina Faso,Burkina Faso,Burkina Faso
BDI,the Republic of Burundi,Burundi,Burundi,Burundi
CPV,the Republic of Cabo Verde,Cabo Verde,Cabo Verde,Cabo Verde
KHM,the Kingdom of Cambodia,Cambodia,Cambodia,Cambodia
CMR,the Republic of Cameroon,Cameroon,Cameroon,Cameroon
CAN,Canada,Canada,Canada,Canada
CYM,Cayman Islands (the),Cayman Islands,Cayman Is,Cayman Islands
CAF,Central African Republic (the),Central African Republic,C. A. R.,Central African Republic
TCD,the Republic of Chad,Chad,Chad,Chad
CHL,the Republic of Chile,Chile,Chile,Chile
CHN,the People's Republic of China,China,China,China
COL,the Republic of Colombia,Colombia,Colombia,Colombia
COM,Union of the Comoros,Comoros,Comoros,Comoros
COG,the Republic of the Congo,Congo,Congo,Congo
COK,the Cook Islands,the Cook Islands,Cook Islands,Cook Islands
CRI,the Republic of Costa Rica,Costa Rica,Costa Rica,Costa Rica
CIV,The Republic of Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire,Côte d'Ivoire
HRV,the Republic of Croatia,Croatia,Croatia,Croatia
CUB,the Republic of Cuba,Cuba,Cuba,Cuba
CUW,Curaçao,Curaçao,Curaçao,Curaçao
CYP,the Republic of Cyprus,Cyprus,Cyprus,Cyprus
CZE,the Czech Republic,the Czech Republic,Czechia,Czechia
COD,the Democratic Republic of the Congo,the Democratic Republic of the Congo,D. R. Congo,D. R. Congo
DNK,the Kingdom of Denmark,Denmark,Denmark,Denmark
DJI,the Republic of Djibouti,Djibouti,Djibouti,Djibouti
DMA,the Commonwealth of Dominica,Dominica,Dominica,Dominica
DOM,the Dominican Republic,the Dominican Republic,Dominican Rep.,Dominican Republic
PRK,Democratic People's Republic of Korea,the Democratic People's Republic of Korea,DPR Korea,DPR Korea
ECU,the Republic of Ecuador,Ecuador,Ecuador,Ecuador
EGY,the Arab Republic of Egypt,Egypt,Egypt,Egypt
SLV,the Republic of El Salvador,El Salvador,El Salvador,El Salvador
GNQ,the Republic of Equatorial Guinea,Equatorial Guinea,Equat. Guinea,Equat. Guinea
ERI,Eritrea,Eritrea,Eritrea,Eritrea
EST,the Republic of Estonia,Estonia,Estonia,Estonia
SWZ,the Kingdom of Eswatini,the Kingdom of Eswatini,Eswatini,Eswatini
ETH,the Federal Democratic Republic of Ethiopia,Ethiopia,Ethiopia,Ethiopia
FJI,the Republic of the Fiji Islands,Fiji,Fiji,Fiji
FIN,the Republic of Finland,Finland,Finland,Finland
FRA,the French Republic,France,France,France
GAB,the Gabonese Republic,Gabon,Gabon,Gabon
GMB,the Republic of the Gambia,the Gambia,Gambia,Gambia
GEO,Georgia,Georgia,Georgia,Georgia
DEU,the Federal Republic of Germany,Germany,Germany,Germany
GHA,the Republic of Ghana,Ghana,Ghana,Ghana
GRC,the Hellenic Republic,Greece,Greece,Greece
GRD,Grenada,Grenada,Grenada,Grenada
GTM,the Republic of Guatemala,Guatemala,Guatemala,Guatemala
GIN,the Republic of Guinea,Guinea,Guinea,Guinea
GNB,the Republic of Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,Guinea-Bissau
GUY,the Cooperative Republic of Guyana,Guyana,Guyana,Guyana
HTI,the Republic of Haiti,Haiti,Haiti,Haiti
HND,the Republic of Honduras,Honduras,Honduras,Honduras
HKG,Hong Kong Special Administrative Region (of the People's Republic of China),"Hong Kong, China","Hong Kong, China","Hong Kong, China"
HUN,Hungary,Hungary,Hungary,Hungary
ISL,the Republic of Iceland,Iceland,Iceland,Iceland
IND,the Republic of India,India,India,India
IDN,the Republic of Indonesia,Indonesia,Indonesia,Indonesia
IRN,the Islamic Republic of Iran,"Iran, Islamic Republic of","Iran, Isl. Rep.","Iran, Islamic Republic of"
IRQ,the Republic of Iraq,Iraq,Iraq,Iraq
IRL,Ireland,Ireland,Ireland,Ireland
ISR,the State of Israel,Israel,Israel,Israel
ITA,the Italian Republic,Italy,Italy,Italy
JAM,Jamaica,Jamaica,Jamaica,Jamaica
JPN,Japan,Japan,Japan,Japan
JOR,the Hashemite Kingdom of Jordan,Jordan,Jordan,Jordan
KAZ,the Republic of Kazakhstan,Kazakhstan,Kazakhstan,Kazakhstan
KEN,the Republic of Kenya,Kenya,Kenya,Kenya
KIR,the Republic of Kiribati,Kiribati,Kiribati,Kiribati
KWT,the State of Kuwait,Kuwait,Kuwait,Kuwait
KGZ,the Kyrgyz Republic,Kyrgyzstan,Kyrgyzstan,Kyrgyzstan
LAO,Lao People's Democratic Republic,the Lao People's Democratic Republic,Lao PDR,Lao PDR
LVA,the Republic of Latvia,Latvia,Latvia,Latvia
LBN,the Lebanese Republic,Lebanon,Lebanon,Lebanon
LSO,the Kingdom of Lesotho,Lesotho,Lesotho,Lesotho
LBR,the Republic of Liberia,Liberia,Liberia,Liberia
LBY,Libya,Libya,Libya,Libya
LIE,the Principality of Liechtenstein,Liechtenstein,Liechtenstein,Liechtenstein
LTU,the Republic of Lithuania,Lithuania,Lithuania,Lithuania
LUX,the Grand Duchy of Luxembourg,Luxembourg,Luxembourg,Luxembourg
MAC,Macao Special Administrative Region (of the People's Republic of China),"Macao, China","Macao, China","Macao, China"
MDG,the Republic of Madagascar,Madagascar,Madagascar,Madagascar
MWI,the Republic of Malawi,Malawi,Malawi,Malawi
MYS,Malaysia,Malaysia,Malaysia,Malaysia
MDV,the Republic of Maldives,Maldives,Maldives,Maldives
MLI,the Republic of Mali,Mali,Mali,Mali
MLT,the Republic of Malta,Malta,Malta,Malta
MHL,the Republic of the Marshall Islands,the Marshall Islands,Marshall Is,Marshall Islands
MRT,the Islamic Republic of Mauritania,Mauritania,Mauritania,Mauritania
MUS,the Republic of Mauritius,Mauritius,Mauritius,Mauritius
MEX,the United Mexican States,Mexico,Mexico,Mexico
FSM,the Federated States of Micronesia,Micronesia (Federated States of),"Micronesia, F. S.","Micronesia, F. S."
MCO,the Principality of Monaco,Monaco,Monaco,Monaco
MNG,Mongolia,Mongolia,Mongolia,Mongolia
MNE,Montenegro,Montenegro,Montenegro,Montenegro
MSR,Montserrat,Montserrat,Montserrat,Montserrat
MAR,the Kingdom of Morocco,Morocco,Morocco,Morocco
MOZ,the Republic of Mozambique,Mozambique,Mozambique,Mozambique
MMR,the Republic of the Union of Myanmar,Myanmar,Myanmar,Myanmar
NAM,the Republic of Namibia,Namibia,Namibia,Namibia
NRU,the Republic of Nauru,Nauru,Nauru,Nauru
NPL,the Federal Democratic Republic of Nepal,Nepal,Nepal,Nepal
NLD,the Kingdom of the Netherlands,the Netherlands,Netherlands,Netherlands
NZL,New Zealand,New Zealand,New Zealand,New Zealand
NIC,the Republic of Nicaragua,Nicaragua,Nicaragua,Nicaragua
NER,the Republic of the Niger,Niger,Niger,Niger
NGA,the Federal Republic of Nigeria,Nigeria,Nigeria,Nigeria
NIU,the Republic of Niue,Niue,Niue,Niue
NOR,the Kingdom of Norway,Norway,Norway,Norway
OMN,the Sultanate of Oman,Oman,Oman,Oman
PAK,the Islamic Republic of Pakistan,Pakistan,Pakistan,Pakistan
PLW,the Republic of Palau,Palau,Palau,Palau
PSE,Palestine,Palestine,Palestine,Palestine
PAN,the Republic of Panama,Panama,Panama,Panama
PNG,Papua New Guinea,Papua New Guinea,Papua N. Guinea,Papua New Guinea
PRY,the Republic of Paraguay,Paraguay,Paraguay,Paraguay
PER,the Republic of Peru,Peru,Peru,Peru
PHL,the Republic of the Philippines,the Philippines,Philippines,Philippines
POL,the Republic of Poland,Poland,Poland,Poland
PRT,the Portuguese Republic,Portugal,Portugal,Portugal
QAT,the State of Qatar,Qatar,Qatar,Qatar
KOR,the Republic of Korea,the Republic of Korea,Rep. of Korea,Republic of Korea
MDA,the Republic of Moldova,the Republic of Moldova,Rep. Moldova,Republic of Moldova
ROU,Romania,Romania,Romania,Romania
RUS,Russian Federation,the Russian Federation,Russian Fed.,Russian Federation
RWA,the Rwandese Republic,Rwanda,Rwanda,Rwanda
KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,St Kitts/Nevis,Saint Kitts and Nevis
LCA,Saint Lucia,Saint Lucia,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin,Saint Martin,Saint Martin
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,"St Vincent/Grenad.","Saint Vincent/Grenadines"
WSM,the Independent State of Samoa,Samoa,Samoa,Samoa
SMR,the Republic of San Marino,San Marino,San Marino,San Marino
STP,the Democratic Republic of Sao Tome and Principe,Sao Tome and Principe,S. Tome/Principe,Sao Tome and Principe
SAU,the Kingdom of Saudi Arabia,Saudi Arabia,Saudi Arabia,Saudi Arabia
SEN,the Republic of Senegal,Senegal,Senegal,Senegal
SRB,the Republic of Serbia,Serbia,Serbia,Serbia
SYC,the Republic of Seychelles,Seychelles,Seychelles,Seychelles
SLE,the Republic of Sierra Leone,Sierra Leone,Sierra Leone,Sierra Leone
SGP,the Republic of Singapore,Singapore,Singapore,Singapore
SXM,Sint Maarten,Sint Maarten,Sint Maarten,Sint Maarten
SVK,the Slovak Republic,Slovakia,Slovakia,Slovakia
SVN,the Republic of Slovenia,Slovenia,Slovenia,Slovenia
SLB,Solomon Islands,Solomon Islands,Solomon Is,Solomon Is
SOM,the Somali Democratic Republic,Somalia,Somalia,Somalia
ZAF,the Republic of South Africa,South Africa,South Africa,South Africa
SSD,the Republic of South Sudan,South Sudan,South Sudan,South Sudan
ESP,the Kingdom of Spain,Spain,Spain,Spain
LKA,the Democratic Socialist Republic of Sri Lanka,Sri Lanka,Sri Lanka,Sri Lanka
SDN,the Republic of the Sudan,Sudan,Sudan,Sudan
SUR,the Republic of Suriname,Suriname,Suriname,Suriname
SWE,the Kingdom of Sweden,Sweden,Sweden,Sweden
CHE,the Swiss Confederation,Switzerland,Switzerland,Switzerland
SYR,the Syrian Arab Republic,the Syrian Arab Republic,Syrian A. R.,Syrian Arab Republic
TJK,the Republic of Tajikistan,Tajikistan,Tajikistan,Tajikistan
MKD,the Republic of North Macedonia,North Macedonia,North Macedonia,North Macedonia
THA,the Kingdom of Thailand,Thailand,Thailand,Thailand
TLS,"the Democratic Republic of Timor-Leste",Timor-Leste,Timor-Leste,Timor-Leste
TGO,the Togolese Republic,Togo,Togo,Togo
TKL,Tokelau,Tokelau,Tokelau,Tokelau
TON,the Kingdom of Tonga,Tonga,Tonga,Tonga
TTO,the Republic of Trinidad and Tobago,Trinidad and Tobago,Trinidad/Tobago,Trinidad and Tobago
TUN,the Republic of Tunisia,Tunisia,Tunisia,Tunisia
TUR,the Republic of Turkey,Turkey,Turkey,Turkey
TKM,Turkmenistan,Turkmenistan,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Turks/Caicos Is,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu,Tuvalu,Tuvalu
UGA,the Republic of Uganda,Uganda,Uganda,Uganda
UKR,Ukraine,Ukraine,Ukraine,Ukraine
ARE,United Arab Emirates,the United Arab Emirates,U. A. Emirates,United Arab Emirates
GBR,the United Kingdom of Great Britain and Northern Ireland,the United Kingdom,United Kingdom,United Kingdom
TZA,the United Republic of Tanzania,the United Republic of Tanzania,U. R. Tanzania,United Republic of Tanzania
USA,the United States of America,the United States,United States,United States
URY,the Eastern Republic of Uruguay,Uruguay,Uruguay,Uruguay
UZB,the Republic of Uzbekistan,Uzbekistan,Uzbekistan,Uzbekistan
VUT,the Republic of Vanuatu,Vanuatu,Vanuatu,Vanuatu
VEN,the Bolivarian Republic of Venezuela,the Bolivarian Republic of Venezuela,"Venezuela, B. R.","Venezuela, B. R."
VNM,the Socialist Republic of Viet Nam,Viet Nam,Viet Nam,Viet Nam
YEM,the Republic of Yemen,Yemen,Yemen,Yemen
ZMB,the Republic of Zambia,Zambia,Zambia,Zambia
ZWE,the Republic of Zimbabwe,Zimbabwe,Zimbabwe,Zimbabwe
FRO,Faroes,Faroes,Faroes,Faroes