iso_code3,country,year,country_year,survey,category,location,sex,wealth,region,ethnicity,religion,comp_prim_v2,comp_lowsec_v2,comp_upsec_v2,comp_prim_1524,comp_lowsec_1524,comp_upsec_2029,eduyears_2024,edu2_2024,edu4_2024,eduout_prim,eduout_lowsec,eduout_upsec,comp_prim_v2_no,comp_lowsec_v2_no,comp_upsec_v2_no,comp_prim_1524_no,comp_lowsec_1524_no,comp_upsec_2029_no,eduyears_2024_no,edu2_2024_no,edu4_2024_no,eduout_prim_no,eduout_lowsec_no,eduout_upsec_no,adjustment,comp_prim_aux,comp_lowsec_aux,year_uis
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Adja & ApparentÈS,,56.701324,31.423674,10.700187,61.418716,23.870096,9.4782267,8.5213118,2.0431583,11.125562,18.952816,23.480867,42.597191,857,630,605,2183,2183,1806,787,787,787,2472,1201,713,1,.68754482,.29667479,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Autres BÈNinois,,,,,46.441944,18.558361,8.0391769,,,,33.449448,18.548103,,27,14,12,58,58,45,13,13,13,59,34,19,1,.43175015,.30409947,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Autres NationalitÈS,,51.53941,27.774969,10.920777,45.114563,21.180756,8.9175892,7.8746505,1.2568276,16.721415,29.64749,28.199247,57.272339,98,87,108,341,341,355,127,127,127,370,161,100,1,.43517071,.24122195,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Bariba & ApparentÈS,,43.881535,20.083735,8.7720413,44.321468,15.325914,7.1833997,9.6728258,3.2144661,7.815062,35.412994,45.337528,57.754971,359,252,218,912,912,746,176,176,176,1116,523,300,1,.52994925,.17634465,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Betamaribe & ApparentÈS,,34.182629,20.450974,2.6599078,38.758068,15.111581,4.6015868,7.3282137,.84221458,18.694143,29.557165,35.684128,53.129433,170,142,122,444,444,371,113,113,113,607,250,124,1,.39380631,.18449663,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Dendi & ApparentÈS,,47.618073,16.174791,4.3430829,39.972221,12.997195,4.1427007,7.5234919,0,10.353909,37.461918,41.79668,59.682812,143,126,97,400,400,350,101,101,101,442,213,119,1,.43200889,.17415082,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Fon & ApparentÈS,,63.991886,33.810642,12.29273,58.752232,27.284176,11.857961,8.3346558,3.0985351,17.170612,12.912686,23.317266,39.641388,1597,1288,1217,4490,4490,3956,1600,1600,1600,4687,2391,1482,1,.62610841,.32007086,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Peulh & ApparentÈS,,11.90958,6.1577921,2.1190197,11.408109,3.1572919,1.6327037,7.8608451,1.7297376,14.255467,78.225609,82.893929,91.375114,273,160,178,648,648,619,53,53,53,1105,423,184,1,.12797719,.039976709,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Yoa & Lokpa ApparentÈS,,54.101604,22.575304,1.7414763,51.785175,15.244128,3.7117879,7.1305642,4.4039464,20.146193,25.195929,33.959793,51.089294,342,250,204,861,861,706,243,243,243,1059,496,294,1,.56033868,.18472998,2014
BEN,Benin,2014,Benin_2014,MICS,Ethnicity,,,,,Yoruba & ApparentÈS,,63.075047,28.91301,13.521326,60.545521,26.609289,14.086578,8.9895439,3.1565845,12.616107,17.794054,26.698044,45.41431,588,444,413,1537,1537,1307,513,513,513,1759,880,520,1,.63045567,.36853638,2014
BEN,Benin,2014,Benin_2014,MICS,Location,Rural,,,,,,45.104473,17.440556,1.9862565,41.973263,12.526043,2.4312685,7.1008239,3.386996,20.305529,31.928154,37.57692,53.87323,2088,1390,1247,4991,4991,4197,1154,1154,1154,6947,3112,1669,1,.46916476,.14509413,2014
BEN,Benin,2014,Benin_2014,MICS,Location,Urban,,,,,,65.183571,37.446815,17.152489,63.523346,31.658569,16.352068,9.259963,2.230202,10.970863,16.031065,24.89044,41.091198,2366,2003,1927,6883,6883,6064,2572,2572,2572,6729,3460,2186,1,.6701805,.38510808,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Adja & ApparentÈS,,48.149429,20.031586,2.670743,51.391769,15.265599,2.6737814,7.4419951,.82568508,14.129464,25.904182,28.701841,49.799507,420,256,220,899,899,695,252,252,252,1268,567,327,1,.60666877,.175974,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Autres BÈNinois,,,,,,,,,,,,,,4,2,2,10,10,12,1,1,1,25,7,3,1,.31743568,0,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Autres NationalitÈS,,,,,26.162199,12.514196,2.6979485,,,,46.63916,52.738464,,24,20,27,80,80,77,15,15,15,119,40,23,1,.24251737,.13534328,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Bariba & ApparentÈS,,32.071774,7.8422914,2.6542478,30.802023,5.8108287,1.6929952,7.2285585,4.8141394,12.893271,43.648102,53.765232,68.06292,226,138,127,543,543,459,81,81,81,743,342,166,1,.38835379,.087395497,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Betamaribe & ApparentÈS,,31.364601,13.82003,1.4682279,33.785492,8.956707,2.0237348,6.7440047,1.3825454,20.29213,26.588621,33.260517,57.367874,130,96,86,311,311,256,74,74,74,461,196,85,1,.3339563,.13284369,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Dendi & ApparentÈS,,26.504192,,,20.939985,6.2235942,0,,,,51.517075,61.980049,66.727692,38,28,20,98,98,78,10,10,10,142,54,31,1,.16274239,.076971419,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Fon & ApparentÈS,,56.891758,24.939545,2.3497777,50.216431,17.272455,3.5593159,6.937252,4.5456467,25.3479,17.293139,26.416449,40.50779,531,386,346,1371,1371,1160,361,361,361,1759,834,479,1,.56143785,.15425068,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Peulh & ApparentÈS,,11.500109,4.7298694,0,10.274646,1.9480692,.21468133,6.6936545,1.7427925,18.509096,76.886261,82.778282,93.476646,215,132,132,513,513,475,36,36,36,843,323,151,1,.11525195,.01566253,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Yoa & Lokpa ApparentÈS,,49.862335,15.936282,2.5006497,45.974506,12.494235,1.8063875,7.0309567,4.4093752,23.136435,31.196543,35.387085,59.540443,208,149,119,502,502,420,138,138,138,689,309,176,1,.41561127,.2205763,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Rural,,,,Yoruba & ApparentÈS,,59.958042,13.639847,.95041013,50.511242,13.301585,2.411566,7.3663692,4.4112844,17.129902,21.017338,27.492443,53.583233,292,183,168,664,664,565,186,186,186,898,440,228,1,.5146991,.23984417,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Adja & ApparentÈS,,67.765137,42.067406,17.186537,71.194458,32.259018,15.424794,9.2321472,2.8449829,9.1471996,8.8789902,17.317898,33.810112,437,374,385,1284,1284,1111,535,535,535,1204,634,386,1,.76310802,.39417934,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Autres BÈNinois,,,,,53.247005,24.480621,14.565511,,,,12.383402,,,23,12,10,48,48,33,12,12,12,34,27,16,1,.45476457,.42163095,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Autres NationalitÈS,,58.937855,32.545055,14.158504,52.06485,24.358992,11.307611,7.9558558,1.4840763,15.095573,18.819185,17.414778,56.715172,74,67,81,261,261,278,112,112,112,251,121,77,1,.51287353,.28959891,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Bariba & ApparentÈS,,65.164169,34.711029,17.588951,64.674774,29.650726,16.158978,11.689879,1.8943876,3.6244328,17.026033,29.16559,44.025726,133,114,91,369,369,287,95,95,95,373,181,134,1,.69914162,.30453736,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Betamaribe & ApparentÈS,,41.936417,32.891499,4.6772861,48.30006,26.922304,9.3133802,8.238821,0,16.20336,38.070717,43.567005,45.18475,40,46,36,133,133,115,39,39,39,146,54,39,1,.50609285,.27193916,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Dendi & ApparentÈS,,55.137413,18.268095,5.5914884,46.453861,15.304019,5.6346049,7.7190976,0,8.166234,29.934067,34.642464,57.461281,105,98,77,302,302,272,91,91,91,300,159,88,1,.51289177,.20208472,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Fon & ApparentÈS,,70.433014,40.91972,19.622753,65.780296,35.527462,18.209126,9.1358767,2.2688131,12.48205,8.440649,20.344992,38.860348,1066,902,871,3119,3119,2796,1239,1239,1239,2928,1557,1003,1,.67793387,.44231477,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Peulh & ApparentÈS,,13.746288,,9.9300737,16.635544,8.7341223,7.5406866,,,,82.782463,83.307419,79.300835,58,28,46,135,135,144,17,17,17,262,100,33,1,.18908453,.12960275,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Yoa & Lokpa ApparentÈS,,60.57819,30.549728,.66873676,59.408039,18.851639,6.368289,7.2523532,4.3973088,16.490053,14.959881,31.790546,39.377121,134,101,85,359,359,286,105,105,105,370,187,118,1,.73417723,.1340778,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Ethnicity,Urban,,,,Yoruba & ApparentÈS,,66.311371,39.835712,22.81567,68.718147,37.448021,23.834185,9.9665356,2.4013779,9.8992443,14.138217,25.821178,38.226265,296,261,245,873,873,742,327,327,327,861,440,292,1,.71323973,.46368533,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex,Rural,Female,,,,,36.949501,7.7566104,.37799361,29.386583,5.8225131,.3993873,5.8860674,4.6572695,28.46888,35.35001,42.155777,67.422134,912,706,701,2564,2564,2401,494,494,494,3280,1349,793,1,.32759869,.059080951,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex,Rural,Male,,,,,51.493038,27.448469,4.1369429,55.535954,19.749384,5.1767411,8.0033016,2.4432728,14.240737,28.827795,33.936279,41.576801,1176,684,546,2427,2427,1796,660,660,660,3667,1763,876,1,.61546677,.26011726,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex,Urban,Female,,,,,60.485016,29.382389,12.016416,54.646999,24.845211,9.5069017,8.2937164,3.1153836,14.919169,16.944666,29.646694,50.055634,1171,1058,1051,3651,3651,3357,1294,1294,1294,3389,1729,1125,1,.58193892,.26972124,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex,Urban,Male,,,,,69.660217,46.489044,23.068832,73.272812,39.14212,24.975254,10.190068,1.3781302,7.1702414,15.113759,20.368519,31.762293,1195,945,876,3232,3232,2707,1278,1278,1278,3340,1731,1061,1,.76912135,.5180245,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Female,Quintile 1,,,,16.694609,1.8741653,0,13.293176,1.6133295,0,5.0864778,4.8273907,32.929192,54.409622,60.019642,85.66011,210,153,156,566,566,556,60,60,60,901,294,178,1,.14104345,.01305145,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Female,Quintile 2,,,,33.022526,5.814189,0,23.538931,3.8571541,0,5.3835125,5.5992122,32.310402,35.818737,45.621521,71.365189,252,201,186,727,727,675,110,110,110,965,404,223,1,.26807159,.040782861,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Female,Quintile 3,,,,46.964897,6.7351089,.27435407,34.39555,5.0906134,.084204815,5.6363206,4.9946032,32.054695,27.212568,36.190002,59.656464,284,215,214,784,784,732,177,177,177,922,397,237,1,.36673757,.054782439,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Female,Quintile 4,,,,50.436245,13.070814,.80049562,44.337322,10.400364,.74689347,6.3488164,2.9374979,20.264935,15.157239,25.273674,55.447884,135,116,120,406,406,365,113,113,113,404,198,129,1,.49315971,.093519181,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Female,Quintile 5,,,,65.735359,,,73.256767,38.788967,8.4037218,8.6357908,5.6470385,18.486652,11.52409,21.103422,,31,21,25,81,81,73,34,34,34,88,56,26,1,.85727066,.36748672,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Male,Quintile 1,,,,32.295422,14.898841,1.1023103,36.774689,8.610918,1.1809806,6.7037177,4.6935067,21.847748,43.066078,51.9104,57.75428,308,156,100,526,526,351,87,87,87,1009,473,187,1,.41910535,.10801806,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Male,Quintile 2,,,,50.994801,21.102005,.80822623,52.962105,15.840644,3.1614132,7.3069062,4.3960781,21.428297,32.164116,35.823421,42.448025,360,179,157,694,694,500,171,171,171,1113,529,255,1,.54340404,.21921004,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Male,Quintile 3,,,,55.463295,27.801109,5.4220614,58.57457,21.071491,4.5790009,8.2179384,1.4167089,10.128296,20.455664,24.939697,41.192581,316,202,186,739,739,602,249,249,249,1005,475,250,1,.67037994,.28165933,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Male,Quintile 4,,,,74.694496,41.960415,6.8081012,73.623268,32.591721,11.233538,9.4188051,0,3.1895378,10.176262,15.991765,29.658642,164,117,88,383,383,287,122,122,122,478,249,144,1,.7989977,.42525476,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Rural,Male,Quintile 5,,,,,67.909966,,87.977112,53.283459,27.793724,9.5291214,0,16.987343,4.5756111,7.7160201,11.441742,28,30,15,85,85,56,31,31,31,62,37,40,1,.94445109,.58571351,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Female,Quintile 1,,,,30.045414,1.0706155,0,23.216339,2.4056547,0,5.9750237,4.0253649,29.349321,52.880299,51.042019,69.087509,113,70,66,277,277,247,33,33,33,399,161,94,1,.21128856,.051782556,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Female,Quintile 2,,,,27.947372,7.8536763,0,23.825205,2.5789642,0,5.3722892,5.0136013,23.608532,23.067274,39.881752,73.597328,48,57,54,177,177,168,31,31,31,212,72,43,1,.34940431,0,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Female,Quintile 3,,,,52.701862,17.662947,0,38.521049,8.6859245,.21427207,6.2962236,3.2138898,24.198792,17.51054,27.364462,64.40728,89,80,85,282,282,258,88,88,88,329,145,84,1,.50415128,.089496389,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Female,Quintile 4,,,,60.442375,25.442341,2.4878042,51.860081,17.229927,2.2757974,7.0397167,5.3484311,18.151331,8.6281013,25.55143,56.997238,259,269,259,890,890,815,314,314,314,771,382,270,1,.56518555,.17462926,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Female,Quintile 5,,,,72.911423,42.020317,24.275284,69.897888,40.076309,19.366379,9.5632648,1.7813312,10.420877,8.2428017,25.970984,36.868008,662,582,587,2025,2025,1869,828,828,828,1678,969,634,1,.70478874,.44369084,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Male,Quintile 1,,,,36.523308,13.683036,2.2415004,38.231144,11.100614,1.4360482,7.8417974,7.1451278,15.097286,49.059109,44.68895,57.871162,138,83,60,261,261,172,47,47,47,506,215,85,1,.39345944,.22226994,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Male,Quintile 2,,,,56.297092,30.107725,1.3519912,60.83564,24.476831,5.852241,7.9318304,6.016293,13.508794,19.233431,21.22094,53.437199,77,51,45,188,188,143,65,65,65,269,123,65,1,.66940457,.40442967,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Male,Quintile 3,,,,58.420242,30.096203,12.521399,63.914322,23.765276,8.6382923,8.3569832,2.6048465,14.230539,12.057974,25.052044,34.745621,126,83,85,295,295,211,99,99,99,326,176,106,1,.74734759,.3565765,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Male,Quintile 4,,,,71.209641,42.42424,14.155209,75.437996,32.894592,17.166393,9.4067154,.80457807,7.184556,8.5286255,18.803967,30.860916,292,259,222,849,849,686,334,334,334,774,418,273,1,.7827571,.44161597,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Sex & Wealth,Urban,Male,Quintile 5,,,,87.529221,67.310928,40.690502,85.250877,58.319645,40.516495,11.730013,.32618073,3.8408828,1.7054843,10.422286,20.683523,562,469,464,1639,1639,1495,733,733,733,1465,799,532,1,.89176726,.70539021,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Rural,,Quintile 1,,,,25.872952,8.3068581,.42230603,24.512148,4.9566298,.46159029,6.0461397,4.7479448,26.353518,48.381817,55.092422,71.860481,518,309,256,1092,1092,907,147,147,147,1910,767,365,1,.27837405,.049434103,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Rural,,Quintile 2,,,,43.58614,13.135295,.38718486,37.977432,9.7376766,1.3822079,6.6204562,4.8254704,25.312069,33.887238,40.162704,56.115234,612,380,343,1421,1421,1175,281,281,281,2078,933,478,1,.39992416,.1262593,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Rural,,Quintile 3,,,,51.366989,17.332897,2.4593751,45.903492,12.69667,2.0636022,7.1315913,2.9222901,19.354946,23.710829,30.256695,49.998478,600,417,400,1523,1523,1334,426,426,426,1927,872,487,1,.51949263,.15108372,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Rural,,Quintile 4,,,,63.557045,26.449024,3.2464135,58.029701,20.77573,5.1856561,7.8374214,1.5131361,11.985255,12.488596,20.145142,41.847881,299,233,208,789,789,652,235,235,235,882,447,273,1,.63478732,.22858098,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Rural,,Quintile 5,,,,78.845802,59.272202,14.994862,81.154312,46.565334,16.557064,9.0673141,2.9192398,17.762413,8.737709,15.421623,16.56568,59,51,40,166,166,129,65,65,65,150,93,66,1,.91056228,.45420709,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Urban,,Quintile 1,,,,33.572182,7.888896,1.0418797,30.358564,6.5416627,.5565232,7.0675788,5.8512492,21.00812,50.747471,47.489475,63.832069,251,153,126,538,538,419,80,80,80,905,376,179,1,.30977023,.13102739,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Urban,,Quintile 2,,,,46.234921,18.889351,.62395346,43.747337,14.366241,2.6699643,7.1511846,5.7104778,16.589159,20.866653,27.64694,60.38295,125,108,99,365,365,311,96,96,96,481,195,108,1,.50809085,.18664715,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Urban,,Quintile 3,,,,56.042458,24.161104,6.7750292,51.993073,16.68605,3.9789221,7.4357595,2.8771081,18.686659,14.700166,26.105961,47.401852,215,163,170,577,577,469,187,187,187,655,321,190,1,.63125616,.23400703,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Urban,,Quintile 4,,,,66.104515,33.935936,8.0773497,63.766163,25.140074,9.0544558,8.319005,2.8926215,12.224134,8.5796442,22.006481,43.907661,551,528,481,1739,1739,1501,648,648,648,1545,800,543,1,.67400521,.30253553,2014
BEN,Benin,2014,Benin_2014,MICS,Location & Wealth,Urban,,Quintile 5,,,,79.534134,52.627869,31.398312,76.569901,48.004398,28.717422,10.558842,1.1127188,7.3975019,5.2438359,18.843599,29.687817,1224,1051,1051,3664,3664,3364,1561,1561,1561,3143,1768,1166,1,.78321242,.55724961,2014
BEN,Benin,2014,Benin_2014,MICS,Region,,,,Alibori,,,23.269932,9.1198406,.84366667,26.266712,7.070992,1.8012192,8.5295486,1.2580622,4.0340004,61.083801,67.235031,69.009132,283,177,125,638,638,580,66,66,66,983,440,189,1,.33620933,.11594339,2014
BEN,Benin,2014,Benin_2014,MICS,Region,,,,Atacora,,,41.35228,20.030687,4.2102551,39.719215,14.324185,3.9382596,7.3660626,.80322868,18.225597,32.893909,35.875748,54.403519,287,199,185,693,693,537,148,148,148,946,400,218,1,.39233625,.17349491,2014
BEN,Benin,2014,Benin_2014,MICS,Region,,,,Atlantique,,,61.378002,32.538296,22.520954,59.692001,28.653093,18.068466,9.0160952,4.2144198,18.976809,11.96759,25.721878,44.651043,340,291,297,1031,1031,928,379,379,379,1105,544,342,1,.64456564,.3831495,2014
